"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FDCSP",1.66999140393172e-93,5.20382042388223,0.462,0.15,5.3927362415763e-89,"2","FDCSP"
"TIMP1",6.79173860296167e-86,0.966470091241862,0.388,0.098,2.19318822966838e-81,"2","TIMP1"
"SCNN1A",4.76344276234292e-84,1.17370234030544,0.355,0.086,1.53821093681578e-79,"2","SCNN1A"
"KRT18",5.39582571285486e-82,1.39919147490424,0.416,0.123,1.74242003919509e-77,"2","KRT18"
"HLA.DRB11",4.76495701314e-76,1.03794268906601,0.782,0.497,1.53869991868317e-71,"2","HLA.DRB1"
"SLC12A2",1.83913436075517e-71,1.12754093182081,0.27,0.058,5.93893267775061e-67,"2","SLC12A2"
"TACSTD21",3.68363698618596e-64,1.3311169463204,0.634,0.32,1.18952005557917e-59,"2","TACSTD2"
"XBP1",4.66833605819681e-64,1.30545889619803,0.458,0.169,1.50749907991291e-59,"2","XBP1"
"LYZ",9.14490684036909e-63,4.64303246836484,0.621,0.362,2.95307331689199e-58,"2","LYZ"
"HLA.DRA1",2.93190399890968e-61,0.775921703909017,0.667,0.377,9.46770439327915e-57,"2","HLA.DRA"
"PDZK1IP1",2.30491644088238e-60,1.0208571165015,0.264,0.063,7.44303617089739e-56,"2","PDZK1IP1"
"CD151",2.08541616267573e-59,1.16824964864086,0.386,0.132,6.73422587251247e-55,"2","CD151"
"JUN1",8.0768312716465e-55,1.22437379722724,0.789,0.545,2.60817035424009e-50,"2","JUN"
"STATH",8.59320565076557e-52,4.6169302510686,0.259,0.074,2.77491796874522e-47,"2","STATH"
"EHF",2.7536148696611e-50,1.00573426167877,0.333,0.111,8.89197313710964e-46,"2","EHF"
"IFI6",1.93628124441789e-49,1.22653422483025,0.739,0.549,6.25263939447426e-45,"2","IFI6"
"MT.ND31",2.4828631728515e-48,0.598271233494673,0.998,0.995,8.01766175777206e-44,"2","MT.ND3"
"NDRG2",1.13680205347176e-47,0.959651083943811,0.34,0.116,3.670961191071e-43,"2","NDRG2"
"FOS",1.29658511441944e-46,1.18114980200617,0.747,0.533,4.18693265148324e-42,"2","FOS"
"ADIRF",3.18633922554077e-45,0.937981445906615,0.301,0.099,1.02893266271163e-40,"2","ADIRF"
"IFITM3",1.45270548010395e-44,0.990496161744101,0.789,0.615,4.69107653635167e-40,"2","IFITM3"
"ELF31",2.41642451020839e-43,1.16770518450019,0.614,0.359,7.80311802836493e-39,"2","ELF3"
"APP",9.14493868660048e-43,1.05526281108062,0.37,0.147,2.95308360067703e-38,"2","APP"
"SAT11",6.18667018049541e-42,1.02171985810947,0.741,0.515,1.99779953468558e-37,"2","SAT1"
"CLDN41",1.86305224194179e-37,1.03211568385064,0.776,0.581,6.01616829967841e-33,"2","CLDN4"
"RRBP1",2.32106602340554e-36,0.907330665307972,0.392,0.175,7.49518640278117e-32,"2","RRBP1"
"EPCAM",9.71456946362713e-35,0.766751796074291,0.279,0.101,3.13702877119447e-30,"2","EPCAM"
"CD63",2.82881253582692e-34,0.881811304583971,0.56,0.328,9.13480144069228e-30,"2","CD63"
"AGR2",3.32238704889501e-34,0.931562322367211,0.325,0.133,1.07286522582918e-29,"2","AGR2"
"TSC22D1",4.96828117049937e-33,0.76412812577857,0.268,0.097,1.60435735557765e-28,"2","TSC22D1"
"CD59",9.78756234246912e-33,0.869234732100679,0.357,0.155,3.16059963163013e-28,"2","CD59"
"ARRDC3",1.19857322285062e-32,0.750084980712069,0.261,0.092,3.87043265122922e-28,"2","ARRDC3"
"TXNIP1",1.91711136286242e-32,0.982264073509977,0.394,0.18,6.19073601295533e-28,"2","TXNIP"
"CTSB1",2.8961269304459e-32,0.718125321869274,0.564,0.342,9.35217308379589e-28,"2","CTSB"
"PLPP2",6.68689515653535e-32,0.918488299172517,0.275,0.107,2.15933218394839e-27,"2","PLPP2"
"PNPLA2",1.91108311563209e-31,0.979086164905476,0.383,0.181,6.17126959699916e-27,"2","PNPLA2"
"PI3",9.43669896123829e-31,0.799895668802614,0.357,0.163,3.04729882856307e-26,"2","PI3"
"RP5.857K21.91",2.61762841915256e-29,0.461129846366583,0.983,0.945,8.45284569112744e-25,"2","RP5.857K21.9"
"MT.RNR21",3.87001391992497e-29,0.399248156248378,1,1,1.24970489502217e-24,"2","MT.RNR2"
"KRT81",4.69472989744304e-29,0.978111625402128,0.362,0.177,1.51602217848231e-24,"2","KRT8"
"PPDPF",6.12164782035947e-29,0.874338851547866,0.386,0.187,1.97680251415048e-24,"2","PPDPF"
"SDC4",1.12724679814863e-28,0.912879656397765,0.314,0.137,3.64010536058155e-24,"2","SDC4"
"PEBP1",1.28372315198257e-28,0.821578904172499,0.514,0.302,4.14539880238212e-24,"2","PEBP1"
"ASS1",1.52671904216011e-28,0.797694404802139,0.261,0.103,4.93008113094341e-24,"2","ASS1"
"HLA.DPB11",2.70660130315912e-28,0.500106911859778,0.368,0.163,8.74015692816144e-24,"2","HLA.DPB1"
"TSHZ2",1.87893227367694e-26,0.746255864244275,0.288,0.122,6.06744809815757e-22,"2","TSHZ2"
"MT.CO31",4.63406328869927e-25,0.452098007184811,0.985,0.953,1.49643171718677e-20,"2","MT.CO3"
"SPINT1",5.6208185211616e-25,0.788776540113272,0.316,0.148,1.8150747168535e-20,"2","SPINT1"
"CD81",3.09765101190595e-24,0.73894066006585,0.455,0.256,1.00029346476467e-19,"2","CD81"
"PTPRF",1.59061190301246e-23,0.745849634562384,0.309,0.148,5.13640395720785e-19,"2","PTPRF"
"SYNE21",4.66626478578761e-23,0.712125293155263,0.442,0.247,1.50683022462654e-18,"2","SYNE2"
"MT.ND11",8.28760378995292e-23,0.32044139539006,1,0.992,2.6762330158516e-18,"2","MT.ND1"
"LGALS31",1.40504629821977e-22,0.737955765660563,0.497,0.316,4.53717550621127e-18,"2","LGALS3"
"CLDN7",1.41146796144868e-22,0.766464901176055,0.29,0.136,4.55791234111007e-18,"2","CLDN7"
"AQP3",1.57252381820479e-22,0.802903122057136,0.303,0.145,5.07799391374691e-18,"2","AQP3"
